"uri","label","type","unit","parent department","parent department > uri"
"http://reference.data.gov.uk/id/public-body/biotechnology-and-biological-sciences-research-council","Biotechnology and Biological Sciences Research Council",,"Institute for Animal Health","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/biotechnology-and-biological-sciences-research-council","Biotechnology and Biological Sciences Research Council",,"UKRO","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/biotechnology-and-biological-sciences-research-council","Biotechnology and Biological Sciences Research Council","Organization","The Babraham Institute","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/biotechnology-and-biological-sciences-research-council","Biotechnology and Biological Sciences Research Council","Organization","The Genome Analysis Centre","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/biotechnology-and-biological-sciences-research-council","Biotechnology and Biological Sciences Research Council","Organization","Swindon Office","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/biotechnology-and-biological-sciences-research-council","Biotechnology and Biological Sciences Research Council","Organization","BITS","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/biotechnology-and-biological-sciences-research-council","Biotechnology and Biological Sciences Research Council","Organization","The Operations Centre","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/biotechnology-and-biological-sciences-research-council","Biotechnology and Biological Sciences Research Council","Organization","UKCDS","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/biotechnology-and-biological-sciences-research-council","Biotechnology and Biological Sciences Research Council","Organization","Rothamsted Research","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/biotechnology-and-biological-sciences-research-council","Biotechnology and Biological Sciences Research Council","Organization","John Innes Centre","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/biotechnology-and-biological-sciences-research-council","Biotechnology and Biological Sciences Research Council","Organization","Institute of Food Research","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
