"uri","label","type","unit","parent department","parent department > uri"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Online Services","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Change Management","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Change Management Division","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Customer Support Centre - Glasgow","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","ICR Operations Department","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Information Security & Assurance","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Information, Advice & Guidance (IAG)","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Infrastructure Oracle Technology","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Management Reporting & Efficiency","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Operations Directorate","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Repayment Division","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Systems Development Division","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Data Services & Analysis","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Collections","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Workforce Management Dpt","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
