"uri","label","type","unit","parent department","parent department > uri"
"http://reference.data.gov.uk/id/public-body/skills-funding-agency","Skills Funding Agency",,"Information Management Services","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/skills-funding-agency","Skills Funding Agency",,"Provider Services","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/skills-funding-agency","Skills Funding Agency","Organization","Skills Funding Agency Chief Executive Office","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/skills-funding-agency","Skills Funding Agency","Organization","Communications and Campaigns","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/skills-funding-agency","Skills Funding Agency","Organization","Employer and Learner Services","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/skills-funding-agency","Skills Funding Agency","Organization","Human Resources and Facilities","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/skills-funding-agency","Skills Funding Agency","Organization","Strategic Finance","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/skills-funding-agency","Skills Funding Agency","Organization","National Apprenticeship Service","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/skills-funding-agency","Skills Funding Agency","Organization","Regional Skills Services","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
