"uri","label","type","unit","parent department","parent department > uri"
"http://reference.data.gov.uk/id/public-body/national-museum-of-science-and-industry","National Museum of Science and Industry",,"Learning","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/national-museum-of-science-and-industry","National Museum of Science and Industry",,"NMSI Enterprises","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/national-museum-of-science-and-industry","National Museum of Science and Industry","Organization","Director's Office","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/national-museum-of-science-and-industry","National Museum of Science and Industry","Organization","Science Museum","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/national-museum-of-science-and-industry","National Museum of Science and Industry","Organization","National Railway Museum","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/national-museum-of-science-and-industry","National Museum of Science and Industry","Organization","National Media Museum","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/national-museum-of-science-and-industry","National Museum of Science and Industry","Organization","Finance","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/national-museum-of-science-and-industry","National Museum of Science and Industry","Organization","Development","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/national-museum-of-science-and-industry","National Museum of Science and Industry","Organization","HR & ICT","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
