"uri","label","type","unit","parent department","parent department > uri"
"http://reference.data.gov.uk/id/public-body/national-lottery-commission","National Lottery Commission",,"Compliance Team","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/national-lottery-commission","National Lottery Commission",,"Resources Team","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/national-lottery-commission","National Lottery Commission","Organization","Licensing Team","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/national-lottery-commission","National Lottery Commission","Organization","Insight and Communications Team","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/national-lottery-commission","National Lottery Commission","Organization","Chief Executive's Office","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
