"uri","label","type","unit","parent department","parent department > uri"
"http://reference.data.gov.uk/id/public-body/the-planning-inspectorate","The Planning Inspectorate",,"Finance, Resource and Business Planning","Department for Communities and Local Government","http://reference.data.gov.uk/id/department/dclg"
"http://reference.data.gov.uk/id/public-body/the-planning-inspectorate","The Planning Inspectorate",,"Wales","Department for Communities and Local Government","http://reference.data.gov.uk/id/department/dclg"
"http://reference.data.gov.uk/id/public-body/the-planning-inspectorate","The Planning Inspectorate","Organization","Development Plans, Policy and Quality","Department for Communities and Local Government","http://reference.data.gov.uk/id/department/dclg"
"http://reference.data.gov.uk/id/public-body/the-planning-inspectorate","The Planning Inspectorate","Organization","Casework","Department for Communities and Local Government","http://reference.data.gov.uk/id/department/dclg"
