"uri","label","type","unit","parent department","parent department > uri"
"http://reference.data.gov.uk/id/public-body/infrastructure-planning-commission","Infrastructure Planning Commission",,"Chief Executive's Office","Department for Communities and Local Government","http://reference.data.gov.uk/id/department/dclg"
"http://reference.data.gov.uk/id/public-body/infrastructure-planning-commission","Infrastructure Planning Commission",,"Legal Services","Department for Communities and Local Government","http://reference.data.gov.uk/id/department/dclg"
"http://reference.data.gov.uk/id/public-body/infrastructure-planning-commission","Infrastructure Planning Commission","Organization","Finance & Corporate Services","Department for Communities and Local Government","http://reference.data.gov.uk/id/department/dclg"
"http://reference.data.gov.uk/id/public-body/infrastructure-planning-commission","Infrastructure Planning Commission","Organization","Operations","Department for Communities and Local Government","http://reference.data.gov.uk/id/department/dclg"
"http://reference.data.gov.uk/id/public-body/infrastructure-planning-commission","Infrastructure Planning Commission","Organization","Commissioners","Department for Communities and Local Government","http://reference.data.gov.uk/id/department/dclg"
