"uri","label","type","unit","parent department","parent department > uri"
"http://reference.data.gov.uk/id/public-body/highways-agency","Highways Agency",,"Finance & Business Services","Department for Transport","http://reference.data.gov.uk/id/department/dft"
"http://reference.data.gov.uk/id/public-body/highways-agency","Highways Agency",,"Major Projects","Department for Transport","http://reference.data.gov.uk/id/department/dft"
"http://reference.data.gov.uk/id/public-body/highways-agency","Highways Agency","Organization","Network Services","Department for Transport","http://reference.data.gov.uk/id/department/dft"
"http://reference.data.gov.uk/id/public-body/highways-agency","Highways Agency","Organization","Traffic Management","Department for Transport","http://reference.data.gov.uk/id/department/dft"
"http://reference.data.gov.uk/id/public-body/highways-agency","Highways Agency","Organization","Network Delivery & Development","Department for Transport","http://reference.data.gov.uk/id/department/dft"
