"uri","label","type","unit","parent department","parent department > uri"
"http://reference.data.gov.uk/id/public-body/natural-england","Natural England",,"Performance","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/natural-england","Natural England",,"Regulation","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/natural-england","Natural England","Organization","Standards","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/natural-england","Natural England","Organization","Landscape and Biodiversity","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/natural-england","Natural England","Organization","Estates & Facilities","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/natural-england","Natural England","Organization","Organisation Development","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/natural-england","Natural England","Organization","External Affairs","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/natural-england","Natural England","Organization","Systems Knowledge & Information","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/natural-england","Natural England","Organization","Finance","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/natural-england","Natural England","Organization","Board and Executive Services","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/natural-england","Natural England","Organization","Land Management","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/natural-england","Natural England","Organization","Procurement","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/natural-england","Natural England","Organization","Legal Support","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/natural-england","Natural England","Organization","Integration","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/natural-england","Natural England","Organization","Land Use","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/natural-england","Natural England","Organization","Evidence and Advice","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/natural-england","Natural England","Organization","Marine","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/natural-england","Natural England","Organization","Customer Services","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/natural-england","Natural England","Organization","Access and Engagement","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
