"uri","label","type","unit","parent department","parent department > uri"
"http://reference.data.gov.uk/id/public-body/training-and-development-agency-for-schools","Training and Development Agency for Schools",,"Chief Executive's Private Office","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/training-and-development-agency-for-schools","Training and Development Agency for Schools",,"Executive Directorate for Training","Department for Education","http://reference.data.gov.uk/id/department/dfe"
"http://reference.data.gov.uk/id/public-body/training-and-development-agency-for-schools","Training and Development Agency for Schools","Organization","Executive Directorate for Supporting Delivery","Department for Education","http://reference.data.gov.uk/id/department/dfe"
