"uri","label","type","unit","parent department","parent department > uri"
"http://reference.data.gov.uk/id/public-body/learning--skills-improvement-service","Learning & Skills Improvement Service",,"Chief Executives Office","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/learning--skills-improvement-service","Learning & Skills Improvement Service",,"Strategy and Business Development Directorate","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/learning--skills-improvement-service","Learning & Skills Improvement Service","Organization","Improvement Services","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/learning--skills-improvement-service","Learning & Skills Improvement Service","Organization","Finance and resourcesFinance and Resources","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
