"uri","label","type","unit","parent department","parent department > uri"
"http://reference.data.gov.uk/id/public-body/hm-crown-prosecution-service-inspectorate","HM Crown Prosecution Service Inspectorate",,"Audit & Research","Attorney General's Office","http://reference.data.gov.uk/id/department/attorney-general"
"http://reference.data.gov.uk/id/public-body/hm-crown-prosecution-service-inspectorate","HM Crown Prosecution Service Inspectorate",,"Inspection Development","Attorney General's Office","http://reference.data.gov.uk/id/department/attorney-general"
"http://reference.data.gov.uk/id/public-body/hm-crown-prosecution-service-inspectorate","HM Crown Prosecution Service Inspectorate","Organization","Corporate Services","Attorney General's Office","http://reference.data.gov.uk/id/department/attorney-general"
"http://reference.data.gov.uk/id/public-body/hm-crown-prosecution-service-inspectorate","HM Crown Prosecution Service Inspectorate","Organization","Inspection Support","Attorney General's Office","http://reference.data.gov.uk/id/department/attorney-general"
"http://reference.data.gov.uk/id/public-body/hm-crown-prosecution-service-inspectorate","HM Crown Prosecution Service Inspectorate","Organization","HM Inspectors: Business Management","Attorney General's Office","http://reference.data.gov.uk/id/department/attorney-general"
"http://reference.data.gov.uk/id/public-body/hm-crown-prosecution-service-inspectorate","HM Crown Prosecution Service Inspectorate","Organization","Prosecution & Legal Practice","Attorney General's Office","http://reference.data.gov.uk/id/department/attorney-general"
"http://reference.data.gov.uk/id/public-body/hm-crown-prosecution-service-inspectorate","HM Crown Prosecution Service Inspectorate","Organization","Joint Inspection","Attorney General's Office","http://reference.data.gov.uk/id/department/attorney-general"
"http://reference.data.gov.uk/id/public-body/hm-crown-prosecution-service-inspectorate","HM Crown Prosecution Service Inspectorate","Organization","HM Inspectors: Legal","Attorney General's Office","http://reference.data.gov.uk/id/department/attorney-general"
