"uri","label","type","unit","parent department","parent department > uri"
"http://reference.data.gov.uk/id/public-body/national-museums-liverpool","National Museums Liverpool",,"Development","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/national-museums-liverpool","National Museums Liverpool",,"Exhibitions","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/national-museums-liverpool","National Museums Liverpool","Organization","Financial Accounting","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/national-museums-liverpool","National Museums Liverpool","Organization","Human Resources","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/national-museums-liverpool","National Museums Liverpool","Organization","Museum of Liverpool","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/national-museums-liverpool","National Museums Liverpool","Organization","Marketing and Communications","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/national-museums-liverpool","National Museums Liverpool","Organization","Collections Management","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/national-museums-liverpool","National Museums Liverpool","Organization","International Slavery Museum","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/national-museums-liverpool","National Museums Liverpool","Organization","Visitor Services","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/national-museums-liverpool","National Museums Liverpool","Organization","Communities","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/national-museums-liverpool","National Museums Liverpool","Organization","Development and Communications","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/national-museums-liverpool","National Museums Liverpool","Organization","Directors Office","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/national-museums-liverpool","National Museums Liverpool","Organization","Education Development","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/national-museums-liverpool","National Museums Liverpool","Organization","Merseyside Maritime Museum","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/national-museums-liverpool","National Museums Liverpool","Organization","Art Galleries","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/national-museums-liverpool","National Museums Liverpool","Organization","Financial Planning","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/national-museums-liverpool","National Museums Liverpool","Organization","Urban History","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/national-museums-liverpool","National Museums Liverpool","Organization","World Museum","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/national-museums-liverpool","National Museums Liverpool","Organization","Education","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/national-museums-liverpool","National Museums Liverpool","Organization","Estate Management","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/national-museums-liverpool","National Museums Liverpool","Organization","Information Systems","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
