"uri","label","type","unit","parent department","parent department > uri"
"http://reference.data.gov.uk/id/public-body/legal-services-commission","Legal Services Commission",,"Case Management","Ministry of Justice","http://reference.data.gov.uk/id/department/justice"
"http://reference.data.gov.uk/id/public-body/legal-services-commission","Legal Services Commission",,"Chief Executive","Ministry of Justice","http://reference.data.gov.uk/id/department/justice"
"http://reference.data.gov.uk/id/public-body/legal-services-commission","Legal Services Commission","Organization","Integrated Delivery & Change Programme","Ministry of Justice","http://reference.data.gov.uk/id/department/justice"
"http://reference.data.gov.uk/id/public-body/legal-services-commission","Legal Services Commission","Organization","Assurance & Performance Management","Ministry of Justice","http://reference.data.gov.uk/id/department/justice"
"http://reference.data.gov.uk/id/public-body/legal-services-commission","Legal Services Commission","Organization","Legal & Service Development","Ministry of Justice","http://reference.data.gov.uk/id/department/justice"
"http://reference.data.gov.uk/id/public-body/legal-services-commission","Legal Services Commission","Organization","Legal Aid Commissioning & Contract Management","Ministry of Justice","http://reference.data.gov.uk/id/department/justice"
"http://reference.data.gov.uk/id/public-body/legal-services-commission","Legal Services Commission","Organization","Human Resources & Organisational Design","Ministry of Justice","http://reference.data.gov.uk/id/department/justice"
"http://reference.data.gov.uk/id/public-body/legal-services-commission","Legal Services Commission","Organization","Contract Management","Ministry of Justice","http://reference.data.gov.uk/id/department/justice"
"http://reference.data.gov.uk/id/public-body/legal-services-commission","Legal Services Commission","Organization","High Cost Cases","Ministry of Justice","http://reference.data.gov.uk/id/department/justice"
"http://reference.data.gov.uk/id/public-body/legal-services-commission","Legal Services Commission","Organization","Financial Controller","Ministry of Justice","http://reference.data.gov.uk/id/department/justice"
"http://reference.data.gov.uk/id/public-body/legal-services-commission","Legal Services Commission","Organization","Information Systems Department","Ministry of Justice","http://reference.data.gov.uk/id/department/justice"
