"uri","label","type","unit","parent department","parent department > uri"
"http://reference.data.gov.uk/id/public-body/uk-atomic-energy-authority","UK Atomic Energy Authority",,"Assurance Division","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/uk-atomic-energy-authority","UK Atomic Energy Authority",,"Directorate","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/uk-atomic-energy-authority","UK Atomic Energy Authority","Organization","Power Supplies and RF Systems Department","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/uk-atomic-energy-authority","UK Atomic Energy Authority","Organization","Theory and Modelling Department","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/uk-atomic-energy-authority","UK Atomic Energy Authority","Organization","Engineering Implementation Department","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/uk-atomic-energy-authority","UK Atomic Energy Authority","Organization","Finance and Contracts Department","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/uk-atomic-energy-authority","UK Atomic Energy Authority","Organization","JET Diagnostics Department","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/uk-atomic-energy-authority","UK Atomic Energy Authority","Organization","Technology Division","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/uk-atomic-energy-authority","UK Atomic Energy Authority","Organization","Active Operations Department","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/uk-atomic-energy-authority","UK Atomic Energy Authority","Organization","MAST Experiments Department","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/uk-atomic-energy-authority","UK Atomic Energy Authority","Organization","Tokamak and NB Operations Department","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/uk-atomic-energy-authority","UK Atomic Energy Authority","Organization","Human Resources Department","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/uk-atomic-energy-authority","UK Atomic Energy Authority","Organization","Support Division","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/uk-atomic-energy-authority","UK Atomic Energy Authority","Organization","Central Engineering Department","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/uk-atomic-energy-authority","UK Atomic Energy Authority","Organization","CODAS and IT Department","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
