"uri","label","type","unit","parent department","parent department > uri"
"http://reference.data.gov.uk/id/public-body/child-maintenance-and-enforcement-commission","Child Maintenance and Enforcement Commission",,"Corporate Affairs Directorate","Department for Work and Pensions","http://reference.data.gov.uk/id/department/dwp"
"http://reference.data.gov.uk/id/public-body/child-maintenance-and-enforcement-commission","Child Maintenance and Enforcement Commission",,"CSA Operations Directorate","Department for Work and Pensions","http://reference.data.gov.uk/id/department/dwp"
"http://reference.data.gov.uk/id/public-body/child-maintenance-and-enforcement-commission","Child Maintenance and Enforcement Commission","Organization","Information and Technology Directorate","Department for Work and Pensions","http://reference.data.gov.uk/id/department/dwp"
"http://reference.data.gov.uk/id/public-body/child-maintenance-and-enforcement-commission","Child Maintenance and Enforcement Commission","Organization","Change Directorate","Department for Work and Pensions","http://reference.data.gov.uk/id/department/dwp"
"http://reference.data.gov.uk/id/public-body/child-maintenance-and-enforcement-commission","Child Maintenance and Enforcement Commission","Organization","Human Resources Directorate","Department for Work and Pensions","http://reference.data.gov.uk/id/department/dwp"
"http://reference.data.gov.uk/id/public-body/child-maintenance-and-enforcement-commission","Child Maintenance and Enforcement Commission","Organization","Customer Directorate","Department for Work and Pensions","http://reference.data.gov.uk/id/department/dwp"
"http://reference.data.gov.uk/id/public-body/child-maintenance-and-enforcement-commission","Child Maintenance and Enforcement Commission","Organization","Finance and Commercial Directorate","Department for Work and Pensions","http://reference.data.gov.uk/id/department/dwp"
