"uri","label","type","unit","parent department","parent department > uri"
"http://reference.data.gov.uk/id/public-body/thurrock-thames-gateway-development-corporation","Thurrock Thames Gateway Development Corporation",,"Resources","Department for Communities and Local Government","http://reference.data.gov.uk/id/department/dclg"
"http://reference.data.gov.uk/id/public-body/thurrock-thames-gateway-development-corporation","Thurrock Thames Gateway Development Corporation",,"Delivery","Department for Communities and Local Government","http://reference.data.gov.uk/id/department/dclg"
"http://reference.data.gov.uk/id/public-body/thurrock-thames-gateway-development-corporation","Thurrock Thames Gateway Development Corporation","Organization","Planning","Department for Communities and Local Government","http://reference.data.gov.uk/id/department/dclg"
"http://reference.data.gov.uk/id/public-body/thurrock-thames-gateway-development-corporation","Thurrock Thames Gateway Development Corporation","Organization","Corporate","Department for Communities and Local Government","http://reference.data.gov.uk/id/department/dclg"
