"uri","label","type","unit","parent department","parent department > uri"
"http://reference.data.gov.uk/id/public-body/intellectual-property-office","Intellectual Property Office",,"Trade Marks Directorate","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/intellectual-property-office","Intellectual Property Office",,"Copyright and IP Enforcement Directorate","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/intellectual-property-office","Intellectual Property Office","Organization","Finance Directorate","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/intellectual-property-office","Intellectual Property Office","Organization","International Policy Directorate","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/intellectual-property-office","Intellectual Property Office","Organization","Innovation Directorate","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/intellectual-property-office","Intellectual Property Office","Organization","Patents Directorate","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/intellectual-property-office","Intellectual Property Office","Organization","Business Support Directorate","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
