"uri","label","type","unit","parent department","parent department > uri"
"http://reference.data.gov.uk/id/public-body/asset-protection-agency","Asset Protection Agency",,"Finance","hmt","http://reference.data.gov.uk/id/department/hmt"
"http://reference.data.gov.uk/id/public-body/asset-protection-agency","Asset Protection Agency",,"Legal and Compliance","hmt","http://reference.data.gov.uk/id/department/hmt"
"http://reference.data.gov.uk/id/public-body/asset-protection-agency","Asset Protection Agency","Organization","Investment Management","hmt","http://reference.data.gov.uk/id/department/hmt"
"http://reference.data.gov.uk/id/public-body/asset-protection-agency","Asset Protection Agency","Organization","Finance & Operations","hmt","http://reference.data.gov.uk/id/department/hmt"
"http://reference.data.gov.uk/id/public-body/asset-protection-agency","Asset Protection Agency","Organization","Risk","hmt","http://reference.data.gov.uk/id/department/hmt"
"http://reference.data.gov.uk/id/public-body/asset-protection-agency","Asset Protection Agency","Organization","Operations","hmt","http://reference.data.gov.uk/id/department/hmt"
