"uri","label","type","unit","parent department","parent department > uri"
"http://reference.data.gov.uk/id/public-body/independent-safeguarding-authority","Independent Safeguarding Authority",,"People & Development","Home Office","http://reference.data.gov.uk/id/department/ho"
"http://reference.data.gov.uk/id/public-body/independent-safeguarding-authority","Independent Safeguarding Authority",,"Operations","Home Office","http://reference.data.gov.uk/id/department/ho"
"http://reference.data.gov.uk/id/public-body/independent-safeguarding-authority","Independent Safeguarding Authority","Organization","Performance, Partnerships & Corporate Change","Home Office","http://reference.data.gov.uk/id/department/ho"
"http://reference.data.gov.uk/id/public-body/independent-safeguarding-authority","Independent Safeguarding Authority","Organization","Finance & Corporate Resources","Home Office","http://reference.data.gov.uk/id/department/ho"
