User-agent: *
Disallow: /doc/gregorian-calendar
Disallow: /doc/uk-calendar
Disallow: /doc/government-calendar
Disallow: /doc/gregorian-instant
Disallow: /doc/gregorian-interval
Disallow: /doc/gregorian-year
Disallow: /doc/gregorian-half
Disallow: /doc/gregorian-quarter
Disallow: /doc/gregorian-month
Disallow: /doc/gregorian-week
Disallow: /doc/gregorian-day
Disallow: /doc/gregorian-hour
Disallow: /doc/gregorian-minute
Disallow: /doc/gregorian-second
Disallow: /doc/year
Disallow: /doc/half
Disallow: /doc/quarter
Disallow: /doc/month
Disallow: /doc/week
Disallow: /doc/day
Disallow: /doc/hour
Disallow: /doc/minute
Disallow: /doc/second
Disallow: /doc/government-year
Disallow: /doc/government-half
Disallow: /doc/government-quarter
Disallow: /doc/government-week
