"uri","label","type","unit"
"http://reference.data.gov.uk/id/department/ho","Home Office",,"News"
"http://reference.data.gov.uk/id/department/ho","Home Office",,"Drugs,Alcohol and Community Director's Office"
"http://reference.data.gov.uk/id/department/ho","Home Office",,"Police Productivity"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Finance and Strategy Director's Office"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Government Equalities Office - Delivery"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Forensic Science Regulation"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Core Skills Assessment Team (CSAT)"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Workforce"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Legal Adviser"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Governance"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Civil Liberties and Public Protection"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Private Office"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Violent and Youth Crime Prevention Unit"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Community Safety"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Group Finance Unit"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Accounting and Finance"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Corporate Support Unit"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Office of the Chief Information Officer Portfolio and Programmes"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Government Equalities Office - Equality Law & Better Regulation"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Ministerial Strategy Unit"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Drugs and Alcohol Unit"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Strategy, Skills and Planning Unit"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Government Equalities Office - Strategic Analysis and International"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Crime & Policing Analysis"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Migration & Border Analysis"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Leadership and Change"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","International Directorate"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Asylum, Criminality and Enforcement"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Migration Advisory Committee"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Crime Director's Office"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Strategic Centre for Organised Crime"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Police Transparency Unit"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Public Order"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Forensic Science Service Team"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Adelphi Services"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Science Secretariat"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Judicial Co-operation Unit"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Safeguarding & Public Protection Unit"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Office of the Head of IBPD"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Legal Strategy Team"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Strategic Communications, Marketing and Insight"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Policing Director's Office"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Audit and Assurance"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Government Equalities Office - Policy and Transformation"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Central Analysis Unit"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Home Office Statistics"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","HOS Shared Support Service"
"http://reference.data.gov.uk/id/department/ho","Home Office","Organization","Group Equality and Diversity"
