"uri","label","type","unit"
"http://reference.data.gov.uk/id/department/dcms","Department for Culture, Media and Sport",,"Broadband Communications, Content & Inclusion"
"http://reference.data.gov.uk/id/department/dcms","Department for Culture, Media and Sport",,"Broadband Delivery"
"http://reference.data.gov.uk/id/department/dcms","Department for Culture, Media and Sport",,"Broadband Spectrum, Resilience & Security"
"http://reference.data.gov.uk/id/department/dcms","Department for Culture, Media and Sport","Organization","GOE Security and Regeneration"
"http://reference.data.gov.uk/id/department/dcms","Department for Culture, Media and Sport","Organization","Ministerial Support Team"
"http://reference.data.gov.uk/id/department/dcms","Department for Culture, Media and Sport","Organization","GOE UK Wide Operations"
"http://reference.data.gov.uk/id/department/dcms","Department for Culture, Media and Sport","Organization","Finance"
"http://reference.data.gov.uk/id/department/dcms","Department for Culture, Media and Sport","Organization","GOE Finance and Sponsorship"
"http://reference.data.gov.uk/id/department/dcms","Department for Culture, Media and Sport","Organization","GOE Programmes"
"http://reference.data.gov.uk/id/department/dcms","Department for Culture, Media and Sport","Organization","Information Systems"
"http://reference.data.gov.uk/id/department/dcms","Department for Culture, Media and Sport","Organization","Procurement & Property Services"
"http://reference.data.gov.uk/id/department/dcms","Department for Culture, Media and Sport","Organization","GOE Staging"
"http://reference.data.gov.uk/id/department/dcms","Department for Culture, Media and Sport","Organization","GOE Communications"
"http://reference.data.gov.uk/id/department/dcms","Department for Culture, Media and Sport","Organization","GOE International & Dignitary Management"
"http://reference.data.gov.uk/id/department/dcms","Department for Culture, Media and Sport","Organization","Government Art Collection"
"http://reference.data.gov.uk/id/department/dcms","Department for Culture, Media and Sport","Organization","Human Resources"
"http://reference.data.gov.uk/id/department/dcms","Department for Culture, Media and Sport","Organization","GOE Government Services Team"
"http://reference.data.gov.uk/id/department/dcms","Department for Culture, Media and Sport","Organization","GOE Olympic Legacy"
"http://reference.data.gov.uk/id/department/dcms","Department for Culture, Media and Sport","Organization","Departmental Flexible Pool"
