"uri","label","type","unit"
"http://reference.data.gov.uk/id/department/co","Cabinet Office",,"Europe and Global Issues Secretariat"
"http://reference.data.gov.uk/id/department/co","Cabinet Office",,"Office of the Deputy Prime Minister"
"http://reference.data.gov.uk/id/department/co","Cabinet Office",,"COI - Live Events"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","COI - Publications"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","COI - Prog Office"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","COI - In-House Content"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","COI - Corporate Comms"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","COI- IT"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","COI - Procurement"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","Honours and Appointments Secretariat"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","IT and Telecoms Branch"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","COI - Moving Image & Audio Content"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","Prime Minister's Office"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","Government Property Unit"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","COI - Channel Integration"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","COI - GovGap Team"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","COI - Client Account Team"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","COI - Chief Executive Office"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","Government Digital Service"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","Knowledge and Information Management"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","COI- News & PR"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","COI - Facilities"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","Efficiency and Reform Group"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","Scheme Management Executive"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","COI - Strategy & Planning"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","COI - Research"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","COI - Interactive Services"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","COI - HR"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","COI- Theme Lead Group"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","COI - MMU&NDS"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","COI - Regional Marketing"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","Constitution Group"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","HUMAN RESOURCESHuman Resources"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","Economic and Domestic Affairs Secretariat"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","COI - Training and Welfare"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","Independent Offices"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","Office of the Parliamentary Counsel"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","National School of Government"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","Cabinet Office Communications"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","Finance and Estates Management"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","Private Office Group"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","COI - Direct & Relationship Marketing"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","GCN Training & Development"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","COI - Finance & IA"
"http://reference.data.gov.uk/id/department/co","Cabinet Office","Organization","Boundary Commission for England"
