"uri","label","type","unit"
"http://reference.data.gov.uk/id/department/dwp","Department for Work and Pensions",,"Strategy"
"http://reference.data.gov.uk/id/department/dwp","Department for Work and Pensions",,"Operations - Benefits"
"http://reference.data.gov.uk/id/department/dwp","Department for Work and Pensions",,"Operations - Contracted Customer Services"
"http://reference.data.gov.uk/id/department/dwp","Department for Work and Pensions","Organization","Operations - Network Services"
"http://reference.data.gov.uk/id/department/dwp","Department for Work and Pensions","Organization","Finance & Commercial"
"http://reference.data.gov.uk/id/department/dwp","Department for Work and Pensions","Organization","Human Resources"
"http://reference.data.gov.uk/id/department/dwp","Department for Work and Pensions","Organization","Corporate IT"
"http://reference.data.gov.uk/id/department/dwp","Department for Work and Pensions","Organization","Operations - No Title Provided"
"http://reference.data.gov.uk/id/department/dwp","Department for Work and Pensions","Organization","Operations - Pensions"
"http://reference.data.gov.uk/id/department/dwp","Department for Work and Pensions","Organization","Operations - Operational Excellence"
"http://reference.data.gov.uk/id/department/dwp","Department for Work and Pensions","Organization","Finance & Commercial - Shared Services"
"http://reference.data.gov.uk/id/department/dwp","Department for Work and Pensions","Organization","Professional Services"
"http://reference.data.gov.uk/id/department/dwp","Department for Work and Pensions","Organization","Operations - Work Services Director & Deputy COO"
"http://reference.data.gov.uk/id/department/dwp","Department for Work and Pensions","Organization","Operations - UC Delivery Organisation Implementation"
