"uri","label","type","unit"
"http://reference.data.gov.uk/id/department/dft","Department for Transport",,"Transport Direct & Travel Information"
"http://reference.data.gov.uk/id/department/dft","Department for Transport",,"International, Strategy & Environment"
"http://reference.data.gov.uk/id/department/dft","Department for Transport",,"Transport Security Strategy"
"http://reference.data.gov.uk/id/department/dft","Department for Transport","Organization","Air Accident Investigation"
"http://reference.data.gov.uk/id/department/dft","Department for Transport","Organization","Group Finance"
"http://reference.data.gov.uk/id/department/dft","Department for Transport","Organization","Group HR"
"http://reference.data.gov.uk/id/department/dft","Department for Transport","Organization","Motoring Agencies"
"http://reference.data.gov.uk/id/department/dft","Department for Transport","Organization","Dangerous Goods, Smart ticketing & High Speed Rail"
"http://reference.data.gov.uk/id/department/dft","Department for Transport","Organization","Marine Accident Investigation"
"http://reference.data.gov.uk/id/department/dft","Department for Transport","Organization","Rail Accident Investigation"
"http://reference.data.gov.uk/id/department/dft","Department for Transport","Organization","Commercial & Technical Services"
"http://reference.data.gov.uk/id/department/dft","Department for Transport","Organization","Group Internal Audit"
"http://reference.data.gov.uk/id/department/dft","Department for Transport","Organization","Greener Transport & International"
"http://reference.data.gov.uk/id/department/dft","Department for Transport","Organization","Maritime"
"http://reference.data.gov.uk/id/department/dft","Department for Transport","Organization","Private Office & Parliamentary"
"http://reference.data.gov.uk/id/department/dft","Department for Transport","Organization","Business Transformation"
"http://reference.data.gov.uk/id/department/dft","Department for Transport","Organization","Shared Services"
"http://reference.data.gov.uk/id/department/dft","Department for Transport","Organization","Corporate Governance"
"http://reference.data.gov.uk/id/department/dft","Department for Transport","Organization","Strategy"
"http://reference.data.gov.uk/id/department/dft","Department for Transport","Organization","Roads"
"http://reference.data.gov.uk/id/department/dft","Department for Transport","Organization","Analysis & Science"
"http://reference.data.gov.uk/id/department/dft","Department for Transport","Organization","Major Projects & London"
"http://reference.data.gov.uk/id/department/dft","Department for Transport","Organization","Corporate Group"
"http://reference.data.gov.uk/id/department/dft","Department for Transport","Organization","Local"
"http://reference.data.gov.uk/id/department/dft","Department for Transport","Organization","Rail"
"http://reference.data.gov.uk/id/department/dft","Department for Transport","Organization","London & Olympics"
"http://reference.data.gov.uk/id/department/dft","Department for Transport","Organization","Rail & Road Projects"
"http://reference.data.gov.uk/id/department/dft","Department for Transport","Organization","General Counsel"
"http://reference.data.gov.uk/id/department/dft","Department for Transport","Organization","Domestic Group"
"http://reference.data.gov.uk/id/department/dft","Department for Transport","Organization","Aviation"
"http://reference.data.gov.uk/id/department/dft","Department for Transport","Organization","Rail Commercial Contracts"
