"uri","label","type","unit"
"http://reference.data.gov.uk/id/department/defra","Department for Environment, Food and Rural Affairs",,"Commercial & Estates"
"http://reference.data.gov.uk/id/department/defra","Department for Environment, Food and Rural Affairs",,"Communications"
"http://reference.data.gov.uk/id/department/defra","Department for Environment, Food and Rural Affairs",,"Information Services"
"http://reference.data.gov.uk/id/department/defra","Department for Environment, Food and Rural Affairs","Organization","Strategic Evidence"
"http://reference.data.gov.uk/id/department/defra","Department for Environment, Food and Rural Affairs","Organization","Marine Programme & Natural Environment"
"http://reference.data.gov.uk/id/department/defra","Department for Environment, Food and Rural Affairs","Organization","Strategic Human Resources"
"http://reference.data.gov.uk/id/department/defra","Department for Environment, Food and Rural Affairs","Organization","Water, Floods, Environmental Risk & Regulation"
"http://reference.data.gov.uk/id/department/defra","Department for Environment, Food and Rural Affairs","Organization","CAP Reform & EU Budget Strategy"
"http://reference.data.gov.uk/id/department/defra","Department for Environment, Food and Rural Affairs","Organization","Environment & Rural Director General's Office"
"http://reference.data.gov.uk/id/department/defra","Department for Environment, Food and Rural Affairs","Organization","GECS Group Senior Management"
"http://reference.data.gov.uk/id/department/defra","Department for Environment, Food and Rural Affairs","Organization","Secretariat"
"http://reference.data.gov.uk/id/department/defra","Department for Environment, Food and Rural Affairs","Organization","Shared Services"
"http://reference.data.gov.uk/id/department/defra","Department for Environment, Food and Rural Affairs","Organization","Climate, Waste and Atmosphere"
"http://reference.data.gov.uk/id/department/defra","Department for Environment, Food and Rural Affairs","Organization","Farming for the Future"
"http://reference.data.gov.uk/id/department/defra","Department for Environment, Food and Rural Affairs","Organization","Food Chain"
"http://reference.data.gov.uk/id/department/defra","Department for Environment, Food and Rural Affairs","Organization","Veterinary Science Team"
"http://reference.data.gov.uk/id/department/defra","Department for Environment, Food and Rural Affairs","Organization","Wildlife, Landscape and Rural"
"http://reference.data.gov.uk/id/department/defra","Department for Environment, Food and Rural Affairs","Organization","Change Programme"
"http://reference.data.gov.uk/id/department/defra","Department for Environment, Food and Rural Affairs","Organization","Climate Change, Exotic Diseases & Agency Relations"
"http://reference.data.gov.uk/id/department/defra","Department for Environment, Food and Rural Affairs","Organization","Finance and Performance"
"http://reference.data.gov.uk/id/department/defra","Department for Environment, Food and Rural Affairs","Organization","Strategy and Sustainability"
