"uri","label","type","unit"
"http://reference.data.gov.uk/id/department/decc","Department of Energy and Climate Change",,"Operations Group"
"http://reference.data.gov.uk/id/department/decc","Department of Energy and Climate Change",,"International Climate Change and Energy Efficiency"
"http://reference.data.gov.uk/id/department/decc","Department of Energy and Climate Change",,"Private Office Group"
"http://reference.data.gov.uk/id/department/decc","Department of Energy and Climate Change","Organization","Strategy and Evidence Group"
"http://reference.data.gov.uk/id/department/decc","Department of Energy and Climate Change","Organization","Energy Markets & Infrastructure"
